STD,Skew,kurtosis,PP,Sigma,Class
2.12,6.81,62.08,0.404739407,35.35,lead
0.5,15.4,237.15,0.43473502,38.18,lead
0.51,15.34,236.08,0.343635134,33.98,lead
0.51,15.32,235.23,0.458091304,40,lead
0.51,15.27,234.52,0.255111177,39.38,lead
0.5,15.3,234.08,0.45081206,40.66,lead
0.52,15.08,230.66,0.472307304,45.36,lead
0.52,15.07,230.6,0.44263956,34.02,lead
0.53,15.03,229.74,0.116179299,25.61,lead
0.53,14.94,227.97,0.430449004,40.93,lead
0.53,14.96,227.82,0.309760029,43.17,lead
0.53,14.96,227.09,0.433610343,40.44,lead
0.53,14.89,226.39,0.341161098,34.23,lead
0.54,14.87,225.96,0.34415847,36.78,lead
0.52,14.9,225.13,0.383721339,34.84,lead
0.54,14.77,223.49,0.279073036,31.91,lead
0.54,14.75,222.79,0.463007447,39.95,lead
0.55,14.51,216.7,0.313500093,31.76,lead
0.55,14.46,215.48,0.310135298,29.91,lead
0.55,14.41,214.82,0.408952206,36.73,lead
0.59,14.28,213.99,0.37670288,41.75,lead
0.58,14.09,207.79,0.427060525,37.23,lead
0.58,14.03,206.96,0.353421776,35.04,lead
0.58,14.01,205.62,0.41244737,35.08,lead
0.58,13.94,205.47,0.396003408,35.98,lead
0.58,13.96,204.09,0.368687835,33.39,lead
0.61,13.71,200.87,0.056374145,23.6,lead
0.61,13.67,199.07,0.192990102,27.23,lead
0.61,13.64,198.75,0.428431341,40.83,lead
0.61,13.65,197.57,0.459263049,41.77,lead
0.6,13.62,196.86,0.38355515,36.44,lead
0.61,13.64,196.01,0.404384769,35.19,lead
0.61,13.58,195.74,0.422961992,41.53,lead
0.62,13.54,195.71,0.370266789,34.84,lead
0.63,13.45,195.56,0.37053685,39.89,lead
0.64,13.47,194.22,0.383456403,33.01,lead
0.61,13.52,193.16,0.320658981,29.57,lead
0.63,13.55,193.02,0.376160164,38.67,lead
0.62,13.49,191.4,0.447735192,39.79,lead
0.62,13.36,191.36,0.473067594,43.8,lead
0.64,13.28,191,0.376501611,33.03,lead
0.62,13.27,189.63,0.34579099,33.85,lead
0.64,13.23,189.62,0.363731726,36.18,lead
0.65,13.09,186.88,0.258600279,29.81,lead
0.54,13.46,185.29,0.401142186,45.18,lead
0.54,13.48,185.27,0.199655131,20.83,lead
0.64,13.05,184.42,0.341653764,38.41,lead
0.64,13.09,184.15,0.331404963,31.44,lead
0.68,12.84,183.24,0.156595356,22.07,lead
0.65,13.19,182.75,0.358691012,34.46,lead
0.71,12.64,178.76,0.428952932,36.36,lead
0.67,12.99,177.36,0.431759187,41.15,lead
0.69,12.61,176.13,0.271184547,28.94,lead
0.67,12.73,175.96,0.437264387,38.62,lead
0.68,12.7,175.92,0.466670464,41.44,lead
0.67,12.67,175.18,0.265580866,30.81,lead
0.69,12.54,172.82,0.209320153,24.34,lead
0.7,12.54,172.23,0.369458961,32.85,lead
0.71,12.46,172.1,0.226625907,28.3,lead
0.7,12.54,171.97,0.187402953,31.53,lead
0.71,12.48,170.78,0.39196043,34.61,lead
0.7,12.41,170.35,0.395389386,39.92,lead
0.7,12.4,169.21,0.271044349,23.7,lead
0.7,12.49,168.86,0.365651572,38.2,lead
0.72,12.44,168.36,0.438957246,29.98,lead
0.72,12.34,167.79,0.385869981,26.62,lead
0.73,12.38,167.78,0.420756958,41.51,lead
0.78,12.11,167.03,0.288141928,29.94,lead
0.71,12.3,166.71,0.46654422,43.23,lead
0.72,12.51,166.2,0.370440504,35.1,lead
0.73,12.22,164.25,0.338648918,38.56,lead
0.72,12.31,164.05,0.451293246,41.27,lead
0.74,12.18,163.9,0.36269301,31.75,lead
0.74,12.15,163.2,0.471620717,39.66,lead
0.74,12.08,163.11,0.331255876,33.24,lead
0.74,12.27,162.78,0.280989928,26.69,lead
0.74,12.3,162.33,0.427774151,40.22,lead
0.74,12.34,161.81,0.444669865,38.64,lead
0.74,12.35,161.67,0.368658799,31.47,lead
0.75,12.26,161.53,0.368225874,40.72,lead
0.76,11.93,159.52,0.441827853,39.32,lead
0.77,11.88,157.79,0.360167512,39.2,lead
0.77,11.84,156.06,0.317662285,29.72,lead
0.63,12.16,155.89,0.446871186,36.43,lead
0.81,11.53,155.68,0.214818845,26.45,lead
0.77,12.13,155.47,0.38383371,32.07,lead
0.77,11.83,155.26,0.368704429,40.54,lead
0.78,11.86,155.14,0.433877321,44.18,lead
0.78,12,154.49,0.371852995,40.79,lead
0.77,11.63,153.56,0.390061424,31.1,lead
0.77,11.82,152.62,0.35063455,31.15,lead
0.8,11.74,152.16,0.35675402,33.28,lead
0.8,11.71,151.87,0.436507144,42.87,lead
0.8,11.72,150.84,0.206117314,25.72,lead
0.81,11.6,148.98,0.346782728,33.77,lead
0.81,11.82,148.94,0.450517647,41.67,lead
